player,rating_pool,RD_pool,vol_pool,rating_de,RD_de,vol_de,Total Pool Matches,Pool Touche Index,Total DE Matches,DE Touche Index,Pool Wins,Pool Losses,DE Wins,DE Losses
PARAYNO JOUR ATOZ,1154.7799055542587,150.36084723657777,0.05999787650070538,,,,10.0,-4.7,0.0,,0.0,10.0,,
PASCUA ALBERT CARLOS,1306.5124136474294,169.35686668564392,0.059998469178382724,,,,5.0,-4.4,0.0,,0.0,5.0,,
PATRICIO ALESSANDRO MATEO,1454.517660764508,188.3058292014839,0.05999769443278472,1456.7170955411077,290.31896176346595,0.05999901221027839,5.0,-0.4,1.0,-4.0,3.0,2.0,0.0,1.0
PEREZ DEREK LUKAS,1605.4043176589828,116.67021117585055,0.05998741696404884,1435.405214706237,182.38958102395648,0.0599944186457047,15.0,0.6666666666666666,5.0,-1.2,10.0,5.0,2.0,3.0
PEREZ NATHANIEL,1853.6295422816743,91.32770721366487,0.059977520736226454,1772.5805888874008,100.30288089463862,0.05997994149231163,26.0,3.8076923076923075,18.0,7.888888888888889,25.0,1.0,17.0,1.0
QUIRANTE NATE,1333.5779352457603,177.11128230584907,0.05999827801851405,,,,5.0,-3.4,0.0,,1.0,4.0,,
RAMOS JONATHAN DAVID,1552.5553897077616,99.03653886116865,0.0599798996280496,1395.810878123124,153.6040020724366,0.05999144793772004,19.0,-0.47368421052631576,7.0,-3.7142857142857144,9.0,10.0,3.0,4.0
ROLDAN YOHANN MALIK,1373.760628945398,121.90278193831627,0.05999128476671457,1437.6485914992784,209.52139842883204,0.0599966040490306,13.0,-2.3846153846153846,3.0,-3.3333333333333335,3.0,10.0,1.0,2.0
SHOEMAKER LOUIS MARTI,1784.7030564700738,101.42909167514102,0.059980274096942315,1604.3512578239745,110.86677916205224,0.05998162793885773,24.0,2.7083333333333335,14.0,2.2142857142857144,20.0,4.0,9.0,5.0
SOYANGCO JOSE GABRIEL,1319.8133687777495,189.23377274163556,0.05999852764064784,,,,5.0,-3.4,0.0,,0.0,5.0,,
TAN DUSTIN JARETT,1705.1344298379781,101.592712775506,0.05998210404954161,1488.4437394029678,154.08683065957823,0.059991560237112745,19.0,1.3157894736842106,7.0,-1.8571428571428572,11.0,8.0,3.0,4.0
TAPANG ADRIAN,1529.5996890355,166.53754556010693,0.0599974528210193,1424.2549170359089,290.3189620720661,0.059999116918056594,5.0,-0.6,1.0,-7.0,2.0,3.0,0.0,1.0
TORRES JAIME ANGELO,1484.4064629936463,136.32915851843487,0.05999332738667511,1359.9549448738342,243.0699077736938,0.059997950761050904,10.0,-0.6,2.0,-8.5,5.0,5.0,0.0,2.0
TRANQUILAN SAMMUEL,1869.0992274868509,103.30654098759987,0.0599838486840151,1678.12078918712,111.88963180171646,0.059985555498413015,24.0,3.5416666666666665,14.0,4.428571428571429,23.0,1.0,10.0,4.0
TRINIDAD NATHAN,1253.666007271811,109.64018909060869,0.05998465154104952,1226.7108344229318,239.23034372716089,0.05999887823726317,20.0,-3.5,2.0,-14.0,2.0,18.0,0.0,2.0
VILLAR VANN PAOLO,1347.172084037098,189.07122128917007,0.05999827909126752,1372.0271525951307,273.3663292589333,0.05999914628753491,5.0,-3.0,1.0,-14.0,1.0,4.0,0.0,1.0
VILLASURDA EZEKIEL,1214.9008362502634,147.35158975342486,0.05999625145176572,,,,9.0,-4.0,0.0,,0.0,9.0,,
WEBER IV ADAM CARLITOS,1279.187692451445,122.92293558515928,0.05999020328262244,1412.9516848220826,271.5626256483568,0.05999888119232972,15.0,-3.2666666666666666,1.0,-12.0,1.0,14.0,0.0,1.0
YALUNG RAPHAELO ENZO,1342.7232276545328,171.86324169235863,0.059998148174761436,,,,5.0,-3.0,0.0,,1.0,4.0,,
YORO RAFAEL PONCE,1168.2045085598827,193.5342770755338,0.06000067577786298,,,,5.0,-4.6,0.0,,0.0,5.0,,
